subscription_id,account_id,start_date,end_date,plan_tier,seats,mrr_amount,arr_amount,is_trial,upgrade_flag,downgrade_flag,churn_flag,billing_frequency,auto_renew_flag,Analysis End Date,Start Date (SOM),Month Span,Month Number,Active Month
S-cff5a2,A-ba6516,2024-01-10,null,Enterprise,27,5373,64476,FALSE,FALSE,FALSE,FALSE,Monthly,Renews Automatically,2024-12-31,2024-01-01,12,1,2024-01-01
S-cff5a2,A-ba6516,2024-01-10,null,Enterprise,27,5373,64476,FALSE,FALSE,FALSE,FALSE,Monthly,Renews Automatically,2024-12-31,2024-01-01,12,2,2024-02-01
S-cff5a2,A-ba6516,2024-01-10,null,Enterprise,27,5373,64476,FALSE,FALSE,FALSE,FALSE,Monthly,Renews Automatically,2024-12-31,2024-01-01,12,3,2024-03-01
S-cff5a2,A-ba6516,2024-01-10,null,Enterprise,27,5373,64476,FALSE,FALSE,FALSE,FALSE,Monthly,Renews Automatically,2024-12-31,2024-01-01,12,4,2024-04-01
S-cff5a2,A-ba6516,2024-01-10,null,Enterprise,27,5373,64476,FALSE,FALSE,FALSE,FALSE,Monthly,Renews Automatically,2024-12-31,2024-01-01,12,5,2024-05-01
S-cff5a2,A-ba6516,2024-01-10,null,Enterprise,27,5373,64476,FALSE,FALSE,FALSE,FALSE,Monthly,Renews Automatically,2024-12-31,2024-01-01,12,6,2024-06-01
S-cff5a2,A-ba6516,2024-01-10,null,Enterprise,27,5373,64476,FALSE,FALSE,FALSE,FALSE,Monthly,Renews Automatically,2024-12-31,2024-01-01,12,7,2024-07-01
S-cff5a2,A-ba6516,2024-01-10,null,Enterprise,27,5373,64476,FALSE,FALSE,FALSE,FALSE,Monthly,Renews Automatically,2024-12-31,2024-01-01,12,8,2024-08-01
S-cff5a2,A-ba6516,2024-01-10,null,Enterprise,27,5373,64476,FALSE,FALSE,FALSE,FALSE,Monthly,Renews Automatically,2024-12-31,2024-01-01,12,9,2024-09-01
S-cff5a2,A-ba6516,2024-01-10,null,Enterprise,27,5373,64476,FALSE,FALSE,FALSE,FALSE,Monthly,Renews Automatically,2024-12-31,2024-01-01,12,10,2024-10-01
S-cff5a2,A-ba6516,2024-01-10,null,Enterprise,27,5373,64476,FALSE,FALSE,FALSE,FALSE,Monthly,Renews Automatically,2024-12-31,2024-01-01,12,11,2024-11-01
S-cff5a2,A-ba6516,2024-01-10,null,Enterprise,27,5373,64476,FALSE,FALSE,FALSE,FALSE,Monthly,Renews Automatically,2024-12-31,2024-01-01,12,12,2024-12-01
S-4b9b13,A-fa2041,2024-08-13,null,Pro,15,735,8820,FALSE,FALSE,FALSE,FALSE,Monthly,Renews Automatically,2024-12-31,2024-08-01,5,1,2024-08-01
S-4b9b13,A-fa2041,2024-08-13,null,Pro,15,735,8820,FALSE,FALSE,FALSE,FALSE,Monthly,Renews Automatically,2024-12-31,2024-08-01,5,2,2024-09-01
S-4b9b13,A-fa2041,2024-08-13,null,Pro,15,735,8820,FALSE,FALSE,FALSE,FALSE,Monthly,Renews Automatically,2024-12-31,2024-08-01,5,3,2024-10-01
S-4b9b13,A-fa2041,2024-08-13,null,Pro,15,735,8820,FALSE,FALSE,FALSE,FALSE,Monthly,Renews Automatically,2024-12-31,2024-08-01,5,4,2024-11-01
S-4b9b13,A-fa2041,2024-08-13,null,Pro,15,735,8820,FALSE,FALSE,FALSE,FALSE,Monthly,Renews Automatically,2024-12-31,2024-08-01,5,5,2024-12-01
S-dceac6,A-417d2f,2023-12-30,null,Enterprise,4,796,9552,FALSE,FALSE,FALSE,FALSE,Annual,Renews Automatically,2024-12-31,2023-12-01,13,1,2023-12-01
S-dceac6,A-417d2f,2023-12-30,null,Enterprise,4,796,9552,FALSE,FALSE,FALSE,FALSE,Annual,Renews Automatically,2024-12-31,2023-12-01,13,2,2024-01-01
S-dceac6,A-417d2f,2023-12-30,null,Enterprise,4,796,9552,FALSE,FALSE,FALSE,FALSE,Annual,Renews Automatically,2024-12-31,2023-12-01,13,3,2024-02-01
S-dceac6,A-417d2f,2023-12-30,null,Enterprise,4,796,9552,FALSE,FALSE,FALSE,FALSE,Annual,Renews Automatically,2024-12-31,2023-12-01,13,4,2024-03-01
S-dceac6,A-417d2f,2023-12-30,null,Enterprise,4,796,9552,FALSE,FALSE,FALSE,FALSE,Annual,Renews Automatically,2024-12-31,2023-12-01,13,5,2024-04-01
S-dceac6,A-417d2f,2023-12-30,null,Enterprise,4,796,9552,FALSE,FALSE,FALSE,FALSE,Annual,Renews Automatically,2024-12-31,2023-12-01,13,6,2024-05-01
S-dceac6,A-417d2f,2023-12-30,null,Enterprise,4,796,9552,FALSE,FALSE,FALSE,FALSE,Annual,Renews Automatically,2024-12-31,2023-12-01,13,7,2024-06-01
S-dceac6,A-417d2f,2023-12-30,null,Enterprise,4,796,9552,FALSE,FALSE,FALSE,FALSE,Annual,Renews Automatically,2024-12-31,2023-12-01,13,8,2024-07-01
S-dceac6,A-417d2f,2023-12-30,null,Enterprise,4,796,9552,FALSE,FALSE,FALSE,FALSE,Annual,Renews Automatically,2024-12-31,2023-12-01,13,9,2024-08-01
S-dceac6,A-417d2f,2023-12-30,null,Enterprise,4,796,9552,FALSE,FALSE,FALSE,FALSE,Annual,Renews Automatically,2024-12-31,2023-12-01,13,10,2024-09-01
S-dceac6,A-417d2f,2023-12-30,null,Enterprise,4,796,9552,FALSE,FALSE,FALSE,FALSE,Annual,Renews Automatically,2024-12-31,2023-12-01,13,11,2024-10-01
S-dceac6,A-417d2f,2023-12-30,null,Enterprise,4,796,9552,FALSE,FALSE,FALSE,FALSE,Annual,Renews Automatically,2024-12-31,2023-12-01,13,12,2024-11-01
S-dceac6,A-417d2f,2023-12-30,null,Enterprise,4,796,9552,FALSE,FALSE,FALSE,FALSE,Annual,Renews Automatically,2024-12-31,2023-12-01,13,13,2024-12-01
S-8cad7b,A-5f2961,2024-12-23,null,Basic,16,304,3648,FALSE,FALSE,FALSE,FALSE,Annual,Renews Automatically,2024-12-31,2024-12-01,1,1,2024-12-01
S-24796e,A-cc8c8f,2024-11-27,null,Enterprise,23,4577,54924,FALSE,FALSE,FALSE,FALSE,Annual,Manual Renewal,2024-12-31,2024-11-01,2,1,2024-11-01
S-24796e,A-cc8c8f,2024-11-27,null,Enterprise,23,4577,54924,FALSE,FALSE,FALSE,FALSE,Annual,Manual Renewal,2024-12-31,2024-11-01,2,2,2024-12-01
S-d0c344,A-80eeb6,2024-10-27,null,Pro,22,1078,12936,FALSE,FALSE,FALSE,FALSE,Annual,Manual Renewal,2024-12-31,2024-10-01,3,1,2024-10-01
S-d0c344,A-80eeb6,2024-10-27,null,Pro,22,1078,12936,FALSE,FALSE,FALSE,FALSE,Annual,Manual Renewal,2024-12-31,2024-10-01,3,2,2024-11-01
S-d0c344,A-80eeb6,2024-10-27,null,Pro,22,1078,12936,FALSE,FALSE,FALSE,FALSE,Annual,Manual Renewal,2024-12-31,2024-10-01,3,3,2024-12-01
S-477506,A-f03140,2024-02-06,null,Pro,27,1323,15876,FALSE,FALSE,FALSE,FALSE,Annual,Renews Automatically,2024-12-31,2024-02-01,11,1,2024-02-01
S-477506,A-f03140,2024-02-06,null,Pro,27,1323,15876,FALSE,FALSE,FALSE,FALSE,Annual,Renews Automatically,2024-12-31,2024-02-01,11,2,2024-03-01
S-477506,A-f03140,2024-02-06,null,Pro,27,1323,15876,FALSE,FALSE,FALSE,FALSE,Annual,Renews Automatically,2024-12-31,2024-02-01,11,3,2024-04-01
S-477506,A-f03140,2024-02-06,null,Pro,27,1323,15876,FALSE,FALSE,FALSE,FALSE,Annual,Renews Automatically,2024-12-31,2024-02-01,11,4,2024-05-01
S-477506,A-f03140,2024-02-06,null,Pro,27,1323,15876,FALSE,FALSE,FALSE,FALSE,Annual,Renews Automatically,2024-12-31,2024-02-01,11,5,2024-06-01
S-477506,A-f03140,2024-02-06,null,Pro,27,1323,15876,FALSE,FALSE,FALSE,FALSE,Annual,Renews Automatically,2024-12-31,2024-02-01,11,6,2024-07-01
S-477506,A-f03140,2024-02-06,null,Pro,27,1323,15876,FALSE,FALSE,FALSE,FALSE,Annual,Renews Automatically,2024-12-31,2024-02-01,11,7,2024-08-01
S-477506,A-f03140,2024-02-06,null,Pro,27,1323,15876,FALSE,FALSE,FALSE,FALSE,Annual,Renews Automatically,2024-12-31,2024-02-01,11,8,2024-09-01
S-477506,A-f03140,2024-02-06,null,Pro,27,1323,15876,FALSE,FALSE,FALSE,FALSE,Annual,Renews Automatically,2024-12-31,2024-02-01,11,9,2024-10-01
S-477506,A-f03140,2024-02-06,null,Pro,27,1323,15876,FALSE,FALSE,FALSE,FALSE,Annual,Renews Automatically,2024-12-31,2024-02-01,11,10,2024-11-01
S-477506,A-f03140,2024-02-06,null,Pro,27,1323,15876,FALSE,FALSE,FALSE,FALSE,Annual,Renews Automatically,2024-12-31,2024-02-01,11,11,2024-12-01
S-59dc4b,A-f17767,2023-09-17,null,Pro,26,1274,15288,FALSE,TRUE,TRUE,FALSE,Monthly,Renews Automatically,2024-12-31,2023-09-01,16,1,2023-09-01
S-59dc4b,A-f17767,2023-09-17,null,Pro,26,1274,15288,FALSE,TRUE,TRUE,FALSE,Monthly,Renews Automatically,2024-12-31,2023-09-01,16,2,2023-10-01
S-59dc4b,A-f17767,2023-09-17,null,Pro,26,1274,15288,FALSE,TRUE,TRUE,FALSE,Monthly,Renews Automatically,2024-12-31,2023-09-01,16,3,2023-11-01
S-59dc4b,A-f17767,2023-09-17,null,Pro,26,1274,15288,FALSE,TRUE,TRUE,FALSE,Monthly,Renews Automatically,2024-12-31,2023-09-01,16,4,2023-12-01
S-59dc4b,A-f17767,2023-09-17,null,Pro,26,1274,15288,FALSE,TRUE,TRUE,FALSE,Monthly,Renews Automatically,2024-12-31,2023-09-01,16,5,2024-01-01
S-59dc4b,A-f17767,2023-09-17,null,Pro,26,1274,15288,FALSE,TRUE,TRUE,FALSE,Monthly,Renews Automatically,2024-12-31,2023-09-01,16,6,2024-02-01
S-59dc4b,A-f17767,2023-09-17,null,Pro,26,1274,15288,FALSE,TRUE,TRUE,FALSE,Monthly,Renews Automatically,2024-12-31,2023-09-01,16,7,2024-03-01
S-59dc4b,A-f17767,2023-09-17,null,Pro,26,1274,15288,FALSE,TRUE,TRUE,FALSE,Monthly,Renews Automatically,2024-12-31,2023-09-01,16,8,2024-04-01
S-59dc4b,A-f17767,2023-09-17,null,Pro,26,1274,15288,FALSE,TRUE,TRUE,FALSE,Monthly,Renews Automatically,2024-12-31,2023-09-01,16,9,2024-05-01
S-59dc4b,A-f17767,2023-09-17,null,Pro,26,1274,15288,FALSE,TRUE,TRUE,FALSE,Monthly,Renews Automatically,2024-12-31,2023-09-01,16,10,2024-06-01
S-59dc4b,A-f17767,2023-09-17,null,Pro,26,1274,15288,FALSE,TRUE,TRUE,FALSE,Monthly,Renews Automatically,2024-12-31,2023-09-01,16,11,2024-07-01
S-59dc4b,A-f17767,2023-09-17,null,Pro,26,1274,15288,FALSE,TRUE,TRUE,FALSE,Monthly,Renews Automatically,2024-12-31,2023-09-01,16,12,2024-08-01
S-59dc4b,A-f17767,2023-09-17,null,Pro,26,1274,15288,FALSE,TRUE,TRUE,FALSE,Monthly,Renews Automatically,2024-12-31,2023-09-01,16,13,2024-09-01
S-59dc4b,A-f17767,2023-09-17,null,Pro,26,1274,15288,FALSE,TRUE,TRUE,FALSE,Monthly,Renews Automatically,2024-12-31,2023-09-01,16,14,2024-10-01
S-59dc4b,A-f17767,2023-09-17,null,Pro,26,1274,15288,FALSE,TRUE,TRUE,FALSE,Monthly,Renews Automatically,2024-12-31,2023-09-01,16,15,2024-11-01
S-59dc4b,A-f17767,2023-09-17,null,Pro,26,1274,15288,FALSE,TRUE,TRUE,FALSE,Monthly,Renews Automatically,2024-12-31,2023-09-01,16,16,2024-12-01
S-7acd8b,A-7920cc,2024-07-17,null,Basic,39,741,8892,FALSE,FALSE,FALSE,FALSE,Annual,Renews Automatically,2024-12-31,2024-07-01,6,1,2024-07-01
S-7acd8b,A-7920cc,2024-07-17,null,Basic,39,741,8892,FALSE,FALSE,FALSE,FALSE,Annual,Renews Automatically,2024-12-31,2024-07-01,6,2,2024-08-01
S-7acd8b,A-7920cc,2024-07-17,null,Basic,39,741,8892,FALSE,FALSE,FALSE,FALSE,Annual,Renews Automatically,2024-12-31,2024-07-01,6,3,2024-09-01
S-7acd8b,A-7920cc,2024-07-17,null,Basic,39,741,8892,FALSE,FALSE,FALSE,FALSE,Annual,Renews Automatically,2024-12-31,2024-07-01,6,4,2024-10-01
S-7acd8b,A-7920cc,2024-07-17,null,Basic,39,741,8892,FALSE,FALSE,FALSE,FALSE,Annual,Renews Automatically,2024-12-31,2024-07-01,6,5,2024-11-01
S-7acd8b,A-7920cc,2024-07-17,null,Basic,39,741,8892,FALSE,FALSE,FALSE,FALSE,Annual,Renews Automatically,2024-12-31,2024-07-01,6,6,2024-12-01
S-486088,A-0cc442,2024-09-18,null,Pro,45,2205,26460,FALSE,FALSE,FALSE,FALSE,Monthly,Renews Automatically,2024-12-31,2024-09-01,4,1,2024-09-01
S-486088,A-0cc442,2024-09-18,null,Pro,45,2205,26460,FALSE,FALSE,FALSE,FALSE,Monthly,Renews Automatically,2024-12-31,2024-09-01,4,2,2024-10-01
S-486088,A-0cc442,2024-09-18,null,Pro,45,2205,26460,FALSE,FALSE,FALSE,FALSE,Monthly,Renews Automatically,2024-12-31,2024-09-01,4,3,2024-11-01
S-486088,A-0cc442,2024-09-18,null,Pro,45,2205,26460,FALSE,FALSE,FALSE,FALSE,Monthly,Renews Automatically,2024-12-31,2024-09-01,4,4,2024-12-01
S-9333c5,A-ef84cf,2024-06-06,2024-08-13,Basic,8,152,1824,FALSE,FALSE,FALSE,TRUE,Annual,Manual Renewal,2024-08-13,2024-06-01,3,1,2024-06-01
S-9333c5,A-ef84cf,2024-06-06,2024-08-13,Basic,8,152,1824,FALSE,FALSE,FALSE,TRUE,Annual,Manual Renewal,2024-08-13,2024-06-01,3,2,2024-07-01
S-9333c5,A-ef84cf,2024-06-06,2024-08-13,Basic,8,152,1824,FALSE,FALSE,FALSE,TRUE,Annual,Manual Renewal,2024-08-13,2024-06-01,3,3,2024-08-01
S-37e3ad,A-b30291,2024-04-25,null,Basic,5,95,1140,FALSE,FALSE,FALSE,FALSE,Monthly,Renews Automatically,2024-12-31,2024-04-01,9,1,2024-04-01
S-37e3ad,A-b30291,2024-04-25,null,Basic,5,95,1140,FALSE,FALSE,FALSE,FALSE,Monthly,Renews Automatically,2024-12-31,2024-04-01,9,2,2024-05-01
S-37e3ad,A-b30291,2024-04-25,null,Basic,5,95,1140,FALSE,FALSE,FALSE,FALSE,Monthly,Renews Automatically,2024-12-31,2024-04-01,9,3,2024-06-01
S-37e3ad,A-b30291,2024-04-25,null,Basic,5,95,1140,FALSE,FALSE,FALSE,FALSE,Monthly,Renews Automatically,2024-12-31,2024-04-01,9,4,2024-07-01
S-37e3ad,A-b30291,2024-04-25,null,Basic,5,95,1140,FALSE,FALSE,FALSE,FALSE,Monthly,Renews Automatically,2024-12-31,2024-04-01,9,5,2024-08-01
S-37e3ad,A-b30291,2024-04-25,null,Basic,5,95,1140,FALSE,FALSE,FALSE,FALSE,Monthly,Renews Automatically,2024-12-31,2024-04-01,9,6,2024-09-01
S-37e3ad,A-b30291,2024-04-25,null,Basic,5,95,1140,FALSE,FALSE,FALSE,FALSE,Monthly,Renews Automatically,2024-12-31,2024-04-01,9,7,2024-10-01
S-37e3ad,A-b30291,2024-04-25,null,Basic,5,95,1140,FALSE,FALSE,FALSE,FALSE,Monthly,Renews Automatically,2024-12-31,2024-04-01,9,8,2024-11-01
S-37e3ad,A-b30291,2024-04-25,null,Basic,5,95,1140,FALSE,FALSE,FALSE,FALSE,Monthly,Renews Automatically,2024-12-31,2024-04-01,9,9,2024-12-01
S-b17d04,A-e19ff6,2024-03-06,null,Pro,8,392,4704,FALSE,FALSE,FALSE,FALSE,Monthly,Renews Automatically,2024-12-31,2024-03-01,10,1,2024-03-01
S-b17d04,A-e19ff6,2024-03-06,null,Pro,8,392,4704,FALSE,FALSE,FALSE,FALSE,Monthly,Renews Automatically,2024-12-31,2024-03-01,10,2,2024-04-01
S-b17d04,A-e19ff6,2024-03-06,null,Pro,8,392,4704,FALSE,FALSE,FALSE,FALSE,Monthly,Renews Automatically,2024-12-31,2024-03-01,10,3,2024-05-01
S-b17d04,A-e19ff6,2024-03-06,null,Pro,8,392,4704,FALSE,FALSE,FALSE,FALSE,Monthly,Renews Automatically,2024-12-31,2024-03-01,10,4,2024-06-01
S-b17d04,A-e19ff6,2024-03-06,null,Pro,8,392,4704,FALSE,FALSE,FALSE,FALSE,Monthly,Renews Automatically,2024-12-31,2024-03-01,10,5,2024-07-01
S-b17d04,A-e19ff6,2024-03-06,null,Pro,8,392,4704,FALSE,FALSE,FALSE,FALSE,Monthly,Renews Automatically,2024-12-31,2024-03-01,10,6,2024-08-01
S-b17d04,A-e19ff6,2024-03-06,null,Pro,8,392,4704,FALSE,FALSE,FALSE,FALSE,Monthly,Renews Automatically,2024-12-31,2024-03-01,10,7,2024-09-01
S-b17d04,A-e19ff6,2024-03-06,null,Pro,8,392,4704,FALSE,FALSE,FALSE,FALSE,Monthly,Renews Automatically,2024-12-31,2024-03-01,10,8,2024-10-01
S-b17d04,A-e19ff6,2024-03-06,null,Pro,8,392,4704,FALSE,FALSE,FALSE,FALSE,Monthly,Renews Automatically,2024-12-31,2024-03-01,10,9,2024-11-01
S-b17d04,A-e19ff6,2024-03-06,null,Pro,8,392,4704,FALSE,FALSE,FALSE,FALSE,Monthly,Renews Automatically,2024-12-31,2024-03-01,10,10,2024-12-01
S-3bd427,A-2e3bad,2024-12-04,2024-12-27,Basic,61,1159,13908,FALSE,FALSE,FALSE,TRUE,Monthly,Renews Automatically,2024-12-27,2024-12-01,1,1,2024-12-01
S-82989b,A-f5641b,2024-11-30,null,Basic,31,589,7068,FALSE,FALSE,FALSE,FALSE,Monthly,Renews Automatically,2024-12-31,2024-11-01,2,1,2024-11-01
S-82989b,A-f5641b,2024-11-30,null,Basic,31,589,7068,FALSE,FALSE,FALSE,FALSE,Monthly,Renews Automatically,2024-12-31,2024-11-01,2,2,2024-12-01
S-082b15,A-aa9511,2024-02-09,null,Enterprise,97,19303,231636,FALSE,FALSE,FALSE,FALSE,Annual,Renews Automatically,2024-12-31,2024-02-01,11,1,2024-02-01
S-082b15,A-aa9511,2024-02-09,null,Enterprise,97,19303,231636,FALSE,FALSE,FALSE,FALSE,Annual,Renews Automatically,2024-12-31,2024-02-01,11,2,2024-03-01
S-082b15,A-aa9511,2024-02-09,null,Enterprise,97,19303,231636,FALSE,FALSE,FALSE,FALSE,Annual,Renews Automatically,2024-12-31,2024-02-01,11,3,2024-04-01
S-082b15,A-aa9511,2024-02-09,null,Enterprise,97,19303,231636,FALSE,FALSE,FALSE,FALSE,Annual,Renews Automatically,2024-12-31,2024-02-01,11,4,2024-05-01
S-082b15,A-aa9511,2024-02-09,null,Enterprise,97,19303,231636,FALSE,FALSE,FALSE,FALSE,Annual,Renews Automatically,2024-12-31,2024-02-01,11,5,2024-06-01
S-082b15,A-aa9511,2024-02-09,null,Enterprise,97,19303,231636,FALSE,FALSE,FALSE,FALSE,Annual,Renews Automatically,2024-12-31,2024-02-01,11,6,2024-07-01
S-082b15,A-aa9511,2024-02-09,null,Enterprise,97,19303,231636,FALSE,FALSE,FALSE,FALSE,Annual,Renews Automatically,2024-12-31,2024-02-01,11,7,2024-08-01
S-082b15,A-aa9511,2024-02-09,null,Enterprise,97,19303,231636,FALSE,FALSE,FALSE,FALSE,Annual,Renews Automatically,2024-12-31,2024-02-01,11,8,2024-09-01
S-082b15,A-aa9511,2024-02-09,null,Enterprise,97,19303,231636,FALSE,FALSE,FALSE,FALSE,Annual,Renews Automatically,2024-12-31,2024-02-01,11,9,2024-10-01
S-082b15,A-aa9511,2024-02-09,null,Enterprise,97,19303,231636,FALSE,FALSE,FALSE,FALSE,Annual,Renews Automatically,2024-12-31,2024-02-01,11,10,2024-11-01
S-082b15,A-aa9511,2024-02-09,null,Enterprise,97,19303,231636,FALSE,FALSE,FALSE,FALSE,Annual,Renews Automatically,2024-12-31,2024-02-01,11,11,2024-12-01
S-434140,A-075038,2024-02-25,null,Pro,17,833,9996,FALSE,FALSE,FALSE,FALSE,Annual,Renews Automatically,2024-12-31,2024-02-01,11,1,2024-02-01
S-434140,A-075038,2024-02-25,null,Pro,17,833,9996,FALSE,FALSE,FALSE,FALSE,Annual,Renews Automatically,2024-12-31,2024-02-01,11,2,2024-03-01
S-434140,A-075038,2024-02-25,null,Pro,17,833,9996,FALSE,FALSE,FALSE,FALSE,Annual,Renews Automatically,2024-12-31,2024-02-01,11,3,2024-04-01
S-434140,A-075038,2024-02-25,null,Pro,17,833,9996,FALSE,FALSE,FALSE,FALSE,Annual,Renews Automatically,2024-12-31,2024-02-01,11,4,2024-05-01
S-434140,A-075038,2024-02-25,null,Pro,17,833,9996,FALSE,FALSE,FALSE,FALSE,Annual,Renews Automatically,2024-12-31,2024-02-01,11,5,2024-06-01
S-434140,A-075038,2024-02-25,null,Pro,17,833,9996,FALSE,FALSE,FALSE,FALSE,Annual,Renews Automatically,2024-12-31,2024-02-01,11,6,2024-07-01
S-434140,A-075038,2024-02-25,null,Pro,17,833,9996,FALSE,FALSE,FALSE,FALSE,Annual,Renews Automatically,2024-12-31,2024-02-01,11,7,2024-08-01
S-434140,A-075038,2024-02-25,null,Pro,17,833,9996,FALSE,FALSE,FALSE,FALSE,Annual,Renews Automatically,2024-12-31,2024-02-01,11,8,2024-09-01
S-434140,A-075038,2024-02-25,null,Pro,17,833,9996,FALSE,FALSE,FALSE,FALSE,Annual,Renews Automatically,2024-12-31,2024-02-01,11,9,2024-10-01
S-434140,A-075038,2024-02-25,null,Pro,17,833,9996,FALSE,FALSE,FALSE,FALSE,Annual,Renews Automatically,2024-12-31,2024-02-01,11,10,2024-11-01
S-434140,A-075038,2024-02-25,null,Pro,17,833,9996,FALSE,FALSE,FALSE,FALSE,Annual,Renews Automatically,2024-12-31,2024-02-01,11,11,2024-12-01
S-c07ede,A-cea1f0,2024-10-07,null,Pro,8,392,4704,FALSE,FALSE,FALSE,FALSE,Annual,Manual Renewal,2024-12-31,2024-10-01,3,1,2024-10-01
S-c07ede,A-cea1f0,2024-10-07,null,Pro,8,392,4704,FALSE,FALSE,FALSE,FALSE,Annual,Manual Renewal,2024-12-31,2024-10-01,3,2,2024-11-01
S-c07ede,A-cea1f0,2024-10-07,null,Pro,8,392,4704,FALSE,FALSE,FALSE,FALSE,Annual,Manual Renewal,2024-12-31,2024-10-01,3,3,2024-12-01
S-287914,A-a1b80b,2024-08-15,null,Pro,16,784,9408,FALSE,FALSE,FALSE,FALSE,Annual,Renews Automatically,2024-12-31,2024-08-01,5,1,2024-08-01
S-287914,A-a1b80b,2024-08-15,null,Pro,16,784,9408,FALSE,FALSE,FALSE,FALSE,Annual,Renews Automatically,2024-12-31,2024-08-01,5,2,2024-09-01
S-287914,A-a1b80b,2024-08-15,null,Pro,16,784,9408,FALSE,FALSE,FALSE,FALSE,Annual,Renews Automatically,2024-12-31,2024-08-01,5,3,2024-10-01
S-287914,A-a1b80b,2024-08-15,null,Pro,16,784,9408,FALSE,FALSE,FALSE,FALSE,Annual,Renews Automatically,2024-12-31,2024-08-01,5,4,2024-11-01
S-287914,A-a1b80b,2024-08-15,null,Pro,16,784,9408,FALSE,FALSE,FALSE,FALSE,Annual,Renews Automatically,2024-12-31,2024-08-01,5,5,2024-12-01
S-b3bd43,A-b2225d,2024-11-03,null,Pro,50,2450,29400,FALSE,FALSE,FALSE,FALSE,Monthly,Manual Renewal,2024-12-31,2024-11-01,2,1,2024-11-01
S-b3bd43,A-b2225d,2024-11-03,null,Pro,50,2450,29400,FALSE,FALSE,FALSE,FALSE,Monthly,Manual Renewal,2024-12-31,2024-11-01,2,2,2024-12-01
S-4c82da,A-b9eed8,2024-08-01,null,Pro,11,539,6468,FALSE,FALSE,FALSE,FALSE,Monthly,Manual Renewal,2024-12-31,2024-08-01,5,1,2024-08-01
S-4c82da,A-b9eed8,2024-08-01,null,Pro,11,539,6468,FALSE,FALSE,FALSE,FALSE,Monthly,Manual Renewal,2024-12-31,2024-08-01,5,2,2024-09-01
S-4c82da,A-b9eed8,2024-08-01,null,Pro,11,539,6468,FALSE,FALSE,FALSE,FALSE,Monthly,Manual Renewal,2024-12-31,2024-08-01,5,3,2024-10-01
S-4c82da,A-b9eed8,2024-08-01,null,Pro,11,539,6468,FALSE,FALSE,FALSE,FALSE,Monthly,Manual Renewal,2024-12-31,2024-08-01,5,4,2024-11-01
S-4c82da,A-b9eed8,2024-08-01,null,Pro,11,539,6468,FALSE,FALSE,FALSE,FALSE,Monthly,Manual Renewal,2024-12-31,2024-08-01,5,5,2024-12-01
S-c75159,A-bcf87c,2024-08-22,2024-09-28,Enterprise,31,6169,74028,FALSE,FALSE,FALSE,TRUE,Monthly,Renews Automatically,2024-09-28,2024-08-01,2,1,2024-08-01
